time_ms,fidelity_lattice,fidelity_1d
0.0,1.0,1.0
0.001,0.9950124791926823,0.9928825924309503
0.002,0.9801986733067553,0.9858158423524046
0.003,0.9559974818331,0.9787993892143566
0.004,0.9231163463866358,0.9718328750329811
0.004999999999999999,0.8824969025845955,0.96491594437237
0.006,0.835270211411272,0.9580482443263975
0.007,0.7827045382418683,0.951229424500714
0.008,0.7261490370736909,0.9444591369948698
0.009000000000000001,0.6669768108584744,0.9377370363845645
0.009999999999999998,0.6065306597126335,0.9310627797040227
0.011,0.5460744266397095,0.924436026428497
0.012,0.4867522559599717,0.9178564384568926
0.013,0.42955735821073926,0.9113236800945185
0.014,0.3753110988513996,0.9048374180359595
0.015,0.3246524673583498,0.898397321348071
0.016,0.2780373004531942,0.8920030614530944
0.017,0.23574607655586363,0.8856543121118926
0.018000000000000002,0.1978986990836147,0.879350749407306
0.018999999999999996,0.16447445657715506,0.8730920517276249
0.019999999999999997,0.13533528323661279,0.8668778997501816
0.020999999999999998,0.11025052530448527,0.8607079764250578
0.022,0.08892161745938638,0.8545819669589086
0.023,0.07100535373963701,0.8484995587989019
0.024,0.056134762834133725,0.8424604416167714
0.024999999999999998,0.043936933623407455,0.8364643072929833
0.026,0.03404745473459938,0.8305108499010163
0.027,0.026121409853918257,0.8245997656917529
0.028,0.019841094744370305,0.8187307530779818
0.029,0.014920786069067856,0.8129035126190108
0.03,0.011108996538242316,0.8071177470053893
0.031,0.008188701014374083,0.8013731610437388
0.032,0.005976022895005948,0.7956694616416928
0.032999999999999995,0.004317840007633089,0.7900063577929426
0.034,0.0030887154082367744,0.7843835605623898
0.034999999999999996,0.002187491118182889,0.7788007830714049
0.036000000000000004,0.0015338106793244643,0.7732577404831906
0.037,0.0010647662366679216,0.7677541499882493
0.03799999999999999,0.0007318024188804754,0.7622897307899537
0.039,0.0004979554215032744,0.7568642040902204
0.039999999999999994,0.0003354626279025127,0.751477293075286
0.041,0.00022374579372062055,0.7461287229015829
0.041999999999999996,0.0001477483602320339,0.7408182206817179
0.043,9.659341372218435e-05,0.7355455154705479
0.044,6.252150377482038e-05,0.7303103382513573
0.045,4.006529739295124e-05,0.7251124219221319
0.046,2.5419346516199356e-05,0.7199515012819313
0.047,1.5966783897804967e-05,0.7148273130173586
0.048,9.929504305851498e-06,0.7097395956891254
0.049,6.113567966372467e-06,0.7046880897187134
0.049999999999999996,3.7266531720812607e-06,0.6996725373751304
0.051,2.2490559670386567e-06,0.6946926827617603
0.052,1.343812277646806e-06,0.6897482718033084
0.053,7.949393615715697e-07,0.6848390522328366
0.054,4.655715716653646e-07,0.6799647735788938
0.05499999999999999,2.6995785054100005e-07,0.6751251871527363
0.056,1.5497531404682067e-07,0.6703200460356393
0.056999999999999995,8.808179306292033e-08,0.6655491050662995
0.058,4.956405569794704e-08,0.6608121208283264
0.059,2.7612430230275966e-08,0.6561088516378231
0.06,1.522999240887823e-08,0.6514390575310556
0.061,8.316730500875744e-09,0.6468025002522094
0.062,4.496410946244997e-09,0.6421989432412342
0.063,2.4068558929095427e-09,0.6376281516217733
0.064,1.2756944270269376e-09,0.6330898921891813
0.06499999999999999,6.697688027970435e-10,0.6285839333986252
0.06599999999999999,3.4887446534912956e-10,0.6241100453532709
0.067,1.8143643475011077e-10,0.6196679997925535
0.068,9.654931771658109e-11,0.6152575700805322
0.06899999999999999,5.719340107145869e-11,0.6108785311943259
0.06999999999999999,4.579469691291138e-11,0.6065306597126334
0.071,5.719340107145869e-11,0.6022137338043341
0.07200000000000001,9.654931771658167e-11,0.5979275332171694
0.073,1.8143643475011265e-10,0.5936718392665064
0.074,3.4887446534912956e-10,0.5894464348241792
0.075,6.697688027970435e-10,0.5852511043074123
0.07599999999999998,1.2756944270269376e-09,0.5810856336678201
0.077,2.40685589290956e-09,0.5769498103804866
0.078,4.496410946245028e-09,0.5728434234331229
0.079,8.316730500875774e-09,0.5687662633152997
0.07999999999999999,1.522999240887823e-08,0.5647181220077593
0.08099999999999999,2.7612430230275966e-08,0.5606987929718017
0.082,4.9564055697947394e-08,0.5567080711387471
0.083,8.808179306292033e-08,0.5527457528994733
0.08399999999999999,1.5497531404682123e-07,0.5488116360940264
0.08499999999999999,2.6995785054100005e-07,0.5449055200013083
0.086,4.655715716653646e-07,0.5410272053288341
0.087,7.949393615715768e-07,0.5371764942025647
0.088,1.3438122776468108e-06,0.5333531901568119
0.089,2.2490559670386648e-06,0.5295570981242129
0.09,3.7266531720812607e-06,0.5257880244257798
0.09099999999999998,6.113567966372467e-06,0.522045776761016
0.092,9.929504305851586e-06,0.5183301641981067
0.093,1.5966783897804998e-05,0.5146409971641763
0.094,2.5419346516199447e-05,0.5109780874356168
0.09499999999999999,4.006529739295124e-05,0.507341248128484
0.096,6.252150377482072e-05,0.5037302936889633
0.097,9.65934137221847e-05,0.5001450398839018
0.098,0.00014774836023203442,0.49658530379140947
0.09899999999999999,0.00022374579372062137,0.49305090379152566
0.09999999999999999,0.0003354626279025127,0.4895416595569531
0.101,0.0004979554215032771,0.4860573920438573
0.102,0.0007318024188804767,0.4825979234827318
0.103,0.0010647662366679253,0.47916307736932817
0.104,0.0015338106793244685,0.4757526784556506
0.105,0.002187491118182889,0.4723665527410147
0.106,0.003088715408236785,0.4690045274631699
0.107,0.0043178400076331015,0.46566643108948497
0.108,0.005976022895005964,0.4623520933081963
0.109,0.008188701014374097,0.4590613450197186
0.10999999999999999,0.011108996538242316,0.4557940183280172
0.111,0.014920786069067908,0.4525499465320417
0.112,0.019841094744370368,0.44932896411722156
